"Time","value {model=""deepseek-r1:8b"", name=""response_time_code_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_code_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-13 18:33:16,,,,,,,,,,1.80 mins,,,,
2025-04-13 18:34:26,,,,,,,,,1.15 mins,,,,,
2025-04-13 18:35:46,,,,,,,,1.31 mins,,,,,,
2025-04-13 18:38:56,,,,,,,3.16 mins,,,,,,,
2025-04-13 18:48:53,,9.92 mins,,,,,,,,,,,,
2025-04-13 18:50:44,1.84 mins,,,,,,,,,,,,,
2025-04-13 18:57:39,,,,,,,,,,,,,,6.90 mins
2025-04-13 19:00:28,,,,,,,,,,,,,2.81 mins,
2025-04-13 19:02:55,,,,2.43 mins,,,,,,,,,,
2025-04-13 19:05:01,,,2.07 mins,,,,,,,,,,,
2025-04-13 19:11:11,,,,,,,,,,,,6.15 mins,,
2025-04-13 19:14:18,,,,,,,,,,,3.10 mins,,,
2025-04-13 19:17:24,,,,,,3.09 mins,,,,,,,,
2025-04-13 19:20:32,,,,,3.11 mins,,,,,,,,,
2025-04-13 19:23:54,,,,,,,,,,2.34 mins,,,,
2025-04-13 19:25:37,,,,,,,,,,4.06 mins,,,,
2025-04-13 19:25:53,,,,,,,,,1.98 mins,,,,,
2025-04-13 19:27:01,,,,,,,,,,5.46 mins,,,,
2025-04-13 19:28:08,,,,,,,,,2.49 mins,,,,,
2025-04-13 19:28:53,,,,,,,,,1.85 mins,,,,,
2025-04-13 19:29:46,,,,,,,,3.87 mins,,,,,,
2025-04-13 19:32:35,,,,,,,,3.69 mins,,,,,,
2025-04-13 19:33:22,,,,,,,,5.22 mins,,,,,,
2025-04-13 19:36:11,,,,,,,6.39 mins,,,,,,,
2025-04-13 19:38:22,,,,,,,5.77 mins,,,,,,,
2025-04-13 19:42:39,,,,,,,9.27 mins,,,,,,,
2025-04-13 20:06:34,,30.37 mins,,,,,,,,,,,,
2025-04-13 20:12:17,5.70 mins,,,,,,,,,,,,,
2025-04-13 20:13:55,,35.53 mins,,,,,,,,,,,,
2025-04-13 20:15:48,,33.13 mins,,,,,,,,,,,,
2025-04-13 20:20:12,6.27 mins,,,,,,,,,,,,,
2025-04-13 20:20:24,4.59 mins,,,,,,,,,,,,,
2025-04-13 20:26:19,,,,,,,,,,,,,,14.02 mins
2025-04-13 20:31:07,,,,,,,,,,,,,4.78 mins,
2025-04-13 20:37:18,,,,,,,,,,,,,,17.08 mins
2025-04-13 20:38:00,,,,6.87 mins,,,,,,,,,,
2025-04-13 20:43:31,,,,,,,,,,,,,,23.09 mins
2025-04-13 20:45:13,,,,,,,,,,,,,7.90 mins,
2025-04-13 20:45:42,,,7.68 mins,,,,,,,,,,,
2025-04-13 20:47:58,,,,2.73 mins,,,,,,,,,,
2025-04-13 20:52:58,,,,,,,,,,,,7.25 mins,,
2025-04-13 20:56:09,,,8.18 mins,,,,,,,,,,,
2025-04-13 20:59:58,,,,,,,,,,,6.99 mins,,,
2025-04-13 21:04:49,,,,,,4.84 mins,,,,,,,,
2025-04-13 21:08:21,,,,,,,,,,,,12.18 mins,,
2025-04-13 21:12:40,,,,,7.82 mins,,,,,,,,,
2025-04-13 21:15:13,,,,,,,,,,,,,31.70 mins,
2025-04-13 21:16:05,,,,,,,,,,,7.72 mins,,,
2025-04-13 21:22:14,,,,6.99 mins,,,,,,,,,,
2025-04-13 21:23:02,,,,,,6.93 mins,,,,,,,,
2025-04-13 21:27:49,,,5.58 mins,,,,,,,,,,,
2025-04-13 21:31:20,,,,,8.28 mins,,,,,,,,,
2025-04-13 21:35:04,,,,,,,,,,,,7.24 mins,,
2025-04-13 21:39:03,,,,,,,,,,,3.97 mins,,,
2025-04-13 21:41:33,,,,,,2.47 mins,,,,,,,,
2025-04-13 21:44:44,,,,,3.16 mins,,,,,,,,,
2025-04-13 21:50:29,,,,,,,,,,4.74 mins,,,,
2025-04-13 21:50:38,,,,,,,,,,4.88 mins,,,,
2025-04-13 21:51:40,,,,,,,,,,5.92 mins,,,,
2025-04-13 21:51:41,,,,,,,,,,5.93 mins,,,,
2025-04-13 21:55:05,,,,,,,,,,9.33 mins,,,,
