Time,"value {model=""deepseek-r1:8b"", name=""response_time_code_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_code_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-17 23:38,,,,,,,,,,1.98 mins,,,,
2025-04-17 23:39,,,,,,,,,1.14 mins,,,,,
2025-04-17 23:41,,,,,,,,1.62 mins,,,,,,
2025-04-17 23:44,,,,,,,3.70 mins,,,,,,,
2025-04-18 0:06,,21.35 mins,,,,,,,,,,,,
2025-04-18 0:08,1.92 mins,,,,,,,,,,,,,
2025-04-18 0:14,,,,,,,,,,,,,,6.43 mins
2025-04-18 0:16,,,,,,,,,,,,,2.38 mins,
2025-04-18 0:18,,,,1.22 mins,,,,,,,,,,
2025-04-18 0:20,,,2.05 mins,,,,,,,,,,,
2025-04-18 0:26,,,,,,,,,,,,6.49 mins,,
2025-04-18 0:29,,,,,,,,,,,2.47 mins,,,
2025-04-18 0:31,,,,,,2.06 mins,,,,,,,,
2025-04-18 0:32,,,,,1.21 mins,,,,,,,,,
2025-04-18 0:36,,,,,,,,,,2.43 mins,,,,
2025-04-18 0:37,,,,,,,,,,3.83 mins,,,,
2025-04-18 0:38,,,,,,,,,,5.22 mins,,,,
2025-04-18 0:38,,,,,,,,,2.78 mins,,,,,
2025-04-18 0:40,,,,,,,,,3.28 mins,,,,,
2025-04-18 0:40,,,,,,,,,1.89 mins,,,,,
2025-04-18 0:42,,,,,,,,3.99 mins,,,,,,
2025-04-18 0:43,,,,,,,,3.20 mins,,,,,,
2025-04-18 0:44,,,,,,,,4.23 mins,,,,,,
2025-04-18 0:50,,,,,,,6.29 mins,,,,,,,
2025-04-18 0:51,,,,,,,8.28 mins,,,,,,,
2025-04-18 0:53,,,,,,,8.71 mins,,,,,,,
2025-04-18 1:09,,18.83 mins,,,,,,,,,,,,
2025-04-18 1:15,5.13 mins,,,,,,,,,,,,,
2025-04-18 1:17,,23.82 mins,,,,,,,,,,,,
2025-04-18 1:24,6.54 mins,,,,,,,,,,,,,
2025-04-18 1:31,,,,,,,,,,,,,,16.71 mins
2025-04-18 1:40,,,,,,,,,,,,,8.39 mins,
2025-04-18 1:41,,,,,,,,,,,,,,17.78 mins
2025-04-18 1:46,,,,6.06 mins,,,,,,,,,,
2025-04-18 1:50,,,,,,,,,,,,,8.52 mins,
2025-04-18 1:54,,,7.65 mins,,,,,,,,,,,
2025-04-18 1:57,,1.12 hours,,,,,,,,,,,,
2025-04-18 1:57,,,,7.26 mins,,,,,,,,,,
2025-04-18 2:02,5.15 mins,,,,,,,,,,,,,
2025-04-18 2:06,,,,,,,,,,,,12.41 mins,,
2025-04-18 2:08,,,11.28 mins,,,,,,,,,,,
2025-04-18 2:13,,,,,,,,,,,7.17 mins,,,
2025-04-18 2:20,,,,,,,,,,,,,,17.50 mins
2025-04-18 2:20,,,,,,7.35 mins,,,,,,,,
2025-04-18 2:24,,,,,,,,,,,,15.72 mins,,
2025-04-18 2:25,,,,,4.53 mins,,,,,,,,,
2025-04-18 2:27,,,,,,,,,,,,,6.91 mins,
