Time,"value {model=""llama3"", name=""response_time_code_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_code_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-13 16:03,,,,,,,,,,26.13 s,,,,
2025-04-13 16:03,,,,,,,,,11.97 s,,,,,
2025-04-13 16:03,,,,,,,,13.69 s,,,,,,
2025-04-13 16:04,,,,,,,1.01 mins,,,,,,,
2025-04-13 16:06,,1.95 mins,,,,,,,,,,,,
2025-04-13 16:08,1.31 mins,,,,,,,,,,,,,
2025-04-13 16:11,,,,,,,,,,,,,,3.68 mins
2025-04-13 16:12,,,,,,,,,,,,,53.33 s,
2025-04-13 16:12,,,,11.60 s,,,,,,,,,,
2025-04-13 16:13,,,58.56 s,,,,,,,,,,,
2025-04-13 16:15,,,,,,,,,,,,1.89 mins,,
2025-04-13 16:16,,,,,,,,,,,54.28 s,,,
2025-04-13 16:17,,,,,,1.10 mins,,,,,,,,
2025-04-13 16:18,,,,,19.02 s,,,,,,,,,
2025-04-13 16:19,,,,,,,,,,17.81 s,,,,
2025-04-13 16:19,,,,,,,,,,25.36 s,,,,
2025-04-13 16:19,,,,,,,,,,25.36 s,,,,
2025-04-13 16:20,,,,,,,,,28.59 s,,,,,
2025-04-13 16:20,,,,,,,,,29.99 s,,,,,
2025-04-13 16:20,,,,,,,,,41.03 s,,,,,
2025-04-13 16:20,,,,,,,,31.06 s,,,,,,
2025-04-13 16:21,,,,,,,,55.91 s,,,,,,
2025-04-13 16:21,,,,,,,,1.25 mins,,,,,,
2025-04-13 16:23,,,,,,,2.50 mins,,,,,,,
2025-04-13 16:23,,,,,,,2.36 mins,,,,,,,
2025-04-13 16:24,,,,,,,2.95 mins,,,,,,,
2025-04-13 16:26,,3.08 mins,,,,,,,,,,,,
2025-04-13 16:26,,3.21 mins,,,,,,,,,,,,
2025-04-13 16:28,2.22 mins,,,,,,,,,,,,,
2025-04-13 16:28,,4.84 mins,,,,,,,,,,,,
2025-04-13 16:29,2.91 mins,,,,,,,,,,,,,
2025-04-13 16:31,2.14 mins,,,,,,,,,,,,,
2025-04-13 16:37,,,,,,,,,,,,,,8.86 mins
2025-04-13 16:39,,,,,,,,,,,,,,9.25 mins
2025-04-13 16:39,,,,,,,,,,,,,2.21 mins,
2025-04-13 16:40,,,,,,,,,,,,,,9.07 mins
2025-04-13 16:40,,,,30.80 s,,,,,,,,,,
2025-04-13 16:41,,,,,,,,,,,,,2.54 mins,
2025-04-13 16:42,,,,25.23 s,,,,,,,,,,
2025-04-13 16:42,,,2.07 mins,,,,,,,,,,,
2025-04-13 16:43,,,,,,,,,,,,,3.05 mins,
2025-04-13 16:43,,,,27.58 s,,,,,,,,,,
2025-04-13 16:45,,,3.30 mins,,,,,,,,,,,
2025-04-13 16:46,,,2.55 mins,,,,,,,,,,,
2025-04-13 16:46,,,,,,,,,,,,4.11 mins,,
2025-04-13 16:49,,,,,,,,,,,2.42 mins,,,
2025-04-13 16:49,,,,,,,,,,,,4.27 mins,,
2025-04-13 16:50,,,,,,1.22 mins,,,,,,,,
2025-04-13 16:50,,,,,13.52 s,,,,,,,,,
2025-04-13 16:50,,,,,,,,,,,,4.63 mins,,
2025-04-13 16:52,,,,,,,,,,,2.84 mins,,,
2025-04-13 16:52,,,,,,,,,,,1.93 mins,,,
2025-04-13 16:53,,,,,,24.63 s,,,,,,,,
2025-04-13 16:53,,,,,,46.29 s,,,,,,,,
