"Time","value {model=""llama3"", name=""response_time_code_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_code_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-17 21:11:47,,,,,,,,,,21.96 s,,,,
2025-04-17 21:11:57,,,,,,,,,8.52 s,,,,,
2025-04-17 21:12:23,,,,,,,,24.97 s,,,,,,
2025-04-17 21:13:21,,,,,,,57.44 s,,,,,,,
2025-04-17 21:14:33,,1.18 mins,,,,,,,,,,,,
2025-04-17 21:15:38,1.07 mins,,,,,,,,,,,,,
2025-04-17 21:18:48,,,,,,,,,,,,,,3.13 mins
2025-04-17 21:19:51,,,,,,,,,,,,,1.05 mins,
2025-04-17 21:20:06,,,,13.12 s,,,,,,,,,,
2025-04-17 21:21:28,,,1.36 mins,,,,,,,,,,,
2025-04-17 21:23:27,,,,,,,,,,,,1.97 mins,,
2025-04-17 21:24:14,,,,,,,,,,,45.22 s,,,
2025-04-17 21:24:41,,,,,,26.56 s,,,,,,,,
2025-04-17 21:25:01,,,,,18.84 s,,,,,,,,,
2025-04-17 21:26:27,,,,,,,,,,24.92 s,,,,
2025-04-17 21:26:35,,,,,,,,,,32.56 s,,,,
2025-04-17 21:26:35,,,,,,,,,,32.56 s,,,,
2025-04-17 21:26:59,,,,,,,,,31.25 s,,,,,
2025-04-17 21:27:00,,,,,,,,,24.13 s,,,,,
2025-04-17 21:27:00,,,,,,,,,24.14 s,,,,,
2025-04-17 21:27:34,,,,,,,,33.26 s,,,,,,
2025-04-17 21:27:46,,,,,,,,44.69 s,,,,,,
2025-04-17 21:28:13,,,,,,,,1.21 mins,,,,,,
2025-04-17 21:30:08,,,,,,,1.90 mins,,,,,,,
2025-04-17 21:30:18,,,,,,,2.53 mins,,,,,,,
2025-04-17 21:30:18,,,,,,,2.72 mins,,,,,,,
2025-04-17 21:32:08,,1.81 mins,,,,,,,,,,,,
2025-04-17 21:32:52,,2.72 mins,,,,,,,,,,,,
2025-04-17 21:34:39,2.50 mins,,,,,,,,,,,,,
2025-04-17 21:35:19,,4.99 mins,,,,,,,,,,,,
2025-04-17 21:35:33,2.66 mins,,,,,,,,,,,,,
2025-04-17 21:37:33,2.22 mins,,,,,,,,,,,,,
2025-04-17 21:42:37,,,,,,,,,,,,,,7.94 mins
2025-04-17 21:43:54,,,,,,,,,,,,,,8.35 mins
2025-04-17 21:44:37,,,,,,,,,,,,,1.99 mins,
2025-04-17 21:44:52,,,,,,,,,,,,,,7.30 mins
2025-04-17 21:45:09,,,,31.18 s,,,,,,,,,,
2025-04-17 21:46:45,,,,,,,,,,,,,2.82 mins,
2025-04-17 21:47:10,,,,24.40 s,,,,,,,,,,
2025-04-17 21:47:51,,,2.68 mins,,,,,,,,,,,
2025-04-17 21:48:16,,,,,,,,,,,,,3.37 mins,
2025-04-17 21:48:40,,,,23.60 s,,,,,,,,,,
2025-04-17 21:49:10,,,1.98 mins,,,,,,,,,,,
